RespondentID,dCountry,Country_ISO,Q45B,Q55,Q6,Q21_Gender,Q21_Age,Q30,Q31,Q42,Q62,WEIGHT,mainpropsec_web,mainpropdoc_web,reason_1_web,reason_2_web,reason_3_web,reason_4_web,reason_5_web,reason_6_web,reason_7_web,ISO_Alpha_2_code,ISO_Alpha_3_code,ISO_Numeric
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,1.015875726,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,3,3,1,1.523813588,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,1,3,1,1.223845087,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,999,3,1,0.273869812,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,1,1,0.264123269,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,1,2,2,2,1,1,0.973535245,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,1,1,0.599194967,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,1,2,4,1,1,0,0.946649254,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,2,1,1,3,4,1,3,1,0.446271541,1,2,1,1,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,2,2,3,0,0.452725801,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,2,4,1,3,1,0.821609435,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,2,1,2,2,4,1,3,1,0.264123269,1,2,1,1,1,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,2.087098998,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,1,4,1,3,1,0.338173014,1,1,1,1,1,2,1,2,2,PS,PSE,275
